compound	compound_desc
C05472	Urocortisol; Tetrahydrocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one
C05473	11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al
C05474	3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al
C05475	11beta,21-Dihydroxy-5beta-pregnane-3,20-dione; 5beta-Pregnane-11beta,21-diol-3,20-dione
C05476	Tetrahydrocorticosterone
C05477	21-Hydroxy-5beta-pregnane-3,11,20-trione
C05478	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione; 5beta-Pregnane-3alpha,21-diol-11,20-dione
C05479	5beta-Pregnane-3,20-dione
C05480	Pregnanolone; 3alpha-Hydroxy-5beta-pregnan-20-one
C05481	Cortolone
C05482	Cortol
C05483	3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one
C05484	Pregnanediol; 5beta-Pregnane-3alpha,20alpha-diol; Pregnandiol; Diol
C05485	21-Hydroxypregnenolone
C05487	17alpha,21-Dihydroxypregnenolone
C05488	11-Deoxycortisol; Cortodoxone
C05489	11beta,17alpha,21-Trihydroxypregnenolone
C05490	11-Dehydrocorticosterone
C05497	21-Deoxycortisol; 4-Pregnene-11beta,17alpha-diol-3,20-dione; 11beta,17alpha-Dihydroxyprogesterone
C05498	11beta-Hydroxyprogesterone
C05499	17alpha,20alpha-Dihydroxycholesterol
C05500	20alpha-Hydroxycholesterol; 20-Hydroxycholesterol
C05501	20alpha,22beta-Dihydroxycholesterol; (22R)-20alpha,22-Dihydroxycholesterol
C05502	22(R)-Hydroxycholesterol; (22R)-22-Hydroxycholesterol; 22beta-Hydroxycholesterol
C05503	Estradiol-17beta 3-glucuronide; 17beta-Estradiol 3-(beta-D-glucuronide)
C05504	16-Glucuronide-estriol; 16alpha,17beta-Estriol 16-(beta-D-glucuronide)
C05512	Deoxyinosine
C05513	Urate-3-ribonucleoside; Uric acid ribonucleoside; Urate D-ribonucleoside
C05515	5-Ureido-4-imidazole carboxylate; 4-Ureido-5-imidazolecarboxylic acid
C05516	5-Amino-4-imidazole carboxylate; 4-Amino-5-imidazolecarboxylic acid
C05519	L-Allothreonine; L-allo-Threonine
C05524	Aminoacyl-L-methionine
C05526	S-Glutathionyl-L-cysteine
C05527	3-Sulfinylpyruvate; 3-Sulfinopyruvate
C05528	3-Sulfopyruvate; 3-Sulfopyruvic acid
C05533	Oxaloglutarate
C05539	N-Acetyl-L-2-amino-6-oxopimelate; L-2-Acetamido-6-oxoheptanedioate; L-2-Acetamido-6-oxopimelate
C05544	Protein N6-methyl-L-lysine
C05545	Protein N6,N6-dimethyl-L-lysine
C05546	Protein N6,N6,N6-trimethyl-L-lysine
C05548	6-Acetamido-2-oxohexanoate; 2-Oxo-6-acetamidocaproate
C05552	Biocytin; N6-D-Biotinyl-L-lysine; epsilon-N-Biotinyl-L-lysine
C05554	Aerobactin
C05565	Hydantoin-5-propionate; Hydantoin-propionate
C05568	Imidazole lactate; Imidazole lactic acid; 2-Hydroxy-3-(1H-imidazol-5-yl)-propanoic acid
C05570	Ergothioneine
C05571	Thiourocanic acid
C05572	4-Oxoglutaramate; 4-Ketoglutaramate
C05575	Hercynine; Nalpha,Nalpha,Nalpha-Trimethyl-L-histidine
C05576	3,4-Dihydroxyphenylethyleneglycol
C05577	3,4-Dihydroxymandelaldehyde; 3,4-Dihydroxyphenylglycolaldehyde
C05578	5,6-Dihydroxyindole; DHI
C05579	Indole-5,6-quinone
C05580	3,4-Dihydroxymandelate; 3,4-Dihydroxymandelic acid; Dihydroxymandelic acid
C05581	3-Methoxy-4-hydroxyphenylacetaldehyde; (4-Hydroxy-3-methoxyphenyl)acetaldehyde; Homovanillin
C05582	Homovanillate; Homovanillic acid; 3-Methoxy-4-hydroxyphenylacetate
C05583	3-Methoxy-4-hydroxyphenylglycolaldehyde
C05584	3-Methoxy-4-hydroxymandelate; Vanillylmandelic acid
C05585	Gentisate aldehyde; 2,5-Dihydroxybenzaldehyde
C05587	3-Methoxytyramine
C05588	L-Metanephrine
C05589	L-Normetanephrine
C05593	3-Hydroxyphenylacetate; 3-Hydroxyphenylacetic acid
C05594	3-Methoxy-4-hydroxyphenylethyleneglycol
C05595	4-Hydroxyphenylacetylglutamic acid; p-Hydroxyphenylacetylglutamic acid; 4-Hydroxyphenylacetylglutamate; p-Hydroxyphenylacetylglutamate
C05596	p-Hydroxyphenylacetylglycine; 4-Hydroxyphenylacetylglycine
C05598	Phenylacetylglycine
C05600	2-Hydroxyhepta-2,4-dienedioate; 2-Hydroxyhepta-2,4-diene-1,7-dioate
C05604	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome; cyclo-Dopa
C05606	Melanin
C05607	Phenyllactate; (R)-Phenyllactate; (R)-3-(phenyl)lactate
C05620	N-Acetyl-D-phenylalanine
C05629	Phenylpropanoate; 3-Phenylpropanoate; 3-Phenyl-propionic acid; 3-Phenylpropanoic acid; 3-Phenylpropionic acid
C05634	5-Hydroxyindoleacetaldehyde
C05635	5-Hydroxyindoleacetate
C05636	3-Hydroxykynurenamine
C05637	4,8-Dihydroxyquinoline; Quinoline-4,8-diol
C05638	5-Hydroxykynurenamine
C05639	4,6-Dihydroxyquinoline; Quinoline-4,6-diol
C05640	Cinnavalininate; Cinnabarinic acid
C05641	5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate; 5-(3-Carboxy-3-oxopropenyl)-4,6-dihydroxypyridine-2-carboxylate
C05642	Formyl-N-acetyl-5-methoxykynurenamine
C05643	6-Hydroxymelatonin
C05644	3-Methylindolepyruvate
C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C05646	5-Hydroxyindolepyruvate
C05647	Formyl-5-hydroxykynurenamine
C05648	5-Hydroxy-N-formylkynurenine; 5-Hydroxy-N-formyl-L-kynurenine
C05651	5-Hydroxykynurenine; 5-Hydroxy-L-kynurenine
C05652	4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate
C05653	Formylanthranilate; N-Formylanthranilate; 2-(Formylamino)-benzoic acid
C05654	5-(2'-Formylethyl)-4,6-dihydroxypicolinate; 5-(beta-Formylethyl)-4,6-dihydroxypicolinate
C05655	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate; 5-(beta-Carboxyethyl)-4,6-dihydroxypicolinate
C05656	5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate; 5-(gamma-Carboxy-gamma-oxopropyl)-4,6-dihydroxypicolinate
C05658	Indoxyl; 1H-Indol-3-ol
C05659	5-Methoxytryptamine; 5-MeOT
C05660	5-Methoxyindoleacetate; 5-Methoxyindoleacetic acid
C05662	Homoisocitrate; 3-Carboxy-2-hydroxyadipate; (-)-1-Hydroxy-1,2,4-butanetricarboxylate; (1R,2S)-1-Hydroxybutane-1,2,4-tricarboxylate; (-)-threo-Homoisocitrate
C05663	6-Hydroxykynurenate; 6-Hydroxykynurenic acid; 4,6-Dihydroxyquinaldic acid
C05665	3-Aminopropanal; beta-Aminopropion aldehyde
C05668	3-Hydroxypropionyl-CoA; 3-Hydroxypropionyl coenzyme A; 3-Hydroxypropanoyl-CoA; 3-Hydroxypropanoyl coenzymeA; beta-Hydroxypropionyl-CoA
C05669	beta-Nitropropanoate; beta-Nitropropanoic acid; beta-Nitropropionic acid; 3-Nitropropanoate; 3-Nitropropionic acid
C05670	3-Aminopropiononitrile; beta-Aminopropionitrile
C05672	2-Amino-3-phosphonopropanoate; Phosphonoalanine
C05673	CMP-2-aminoethylphosphonate; CMPciliatine
C05674	CMP-N-trimethyl-2-aminoethylphosphonate; CMP-2-trimethylaminoethylphosphonate
C05675	Diacylglyceryl-2-aminoethylphosphonate; Diacylglycerophosphonoethanolamine
C05676	Diacylglyceryl-N-trimethyl-2-aminoethylphosphonate; Diacylglyceryl-2-trimethylaminoethylphosphonate; Diacylglycerophosphonocholine
C05677	Lipophosphonoglycan
C05678	(2-Amino-1-hydroxyethyl)phosphonate; 1-Hydroxy-2-aminoethylphosphonate
C05679	N-Monomethyl-2-aminoethylphosphonate; 2-Methylaminoethylphosphonate
C05680	N-Dimethyl-2-aminoethylphosphonate; 2-Dimethylaminoethylphosphonate
C05681	Ceramide 2-aminoethylphosphonate; Ceramide ciliatine
C05682	Phosphonoacetate; Phosphonoacetic acid; Fosfonet
C05683	Ciliatocholate; Ciliatocholic acid; 2-Aminoethylphosphocholate
C05684	Selenite
C05686	Adenylylselenate; Adenosine-5'-phosphoselenate
C05688	L-Selenocysteine
C05689	Se-Methyl-L-selenocysteine
C05690	Se-Methylselenomethionine
C05695	gamma-Glutamyl-Se-methylselenocysteine; 5-L-Glutamyl-Se-methylselenocysteine
C05697	Selenate; Selenic acid
C05698	Selenohomocysteine
C05699	L-Selenocystathionine
C05703	Methaneselenol; Methylselenol
C05723	Poly-gamma-D-glutamate
C05726	S-Substituted L-cysteine; R-S-Cysteine; L-Cysteine S-conjugate
C05727	S-Substituted N-acetyl-L-cysteine; Mercapturic acid; N-Acetyl-L-cysteine S-conjugate
C05729	R-S-Cysteinylglycine; [L-Cysteinylglycine]-S-conjugate
C05730	Glutathionylspermidine; N1-(gamma-L-Glutamyl-L-cysteinyl-glycyl)-spermidine
C05731	3-Ketosucrose; 3-Dehydro-alpha-D-glucosyl-beta-D-fructofuranoside
C05744	Acetoacetyl-[acp]; Acetoacetyl-[acyl-carrier protein]
C05745	Butyryl-[acp]; Butyryl-[acyl-carrier protein]; Butanoyl-[acp]
C05746	3-Oxohexanoyl-[acp]; 3-Oxohexanoyl-[acyl-carrier protein]
C05747	(R)-3-Hydroxyhexanoyl-[acp]; (R)-3-Hydroxyhexanoyl-[acyl-carrier protein]; D-3-Hydroxyhexanoyl-[acp]; D-3-Hydroxyhexanoyl-[acyl-carrier protein]
C05748	trans-Hex-2-enoyl-[acp]; trans-Hex-2-enoyl-[acyl-carrier protein]; (2E)-Hexenoyl-[acp]
C05749	Hexanoyl-[acp]; Hexanoyl-[acyl-carrier protein]
C05750	3-Oxooctanoyl-[acp]; 3-Oxooctanoyl-[acyl-carrier protein]
C05751	trans-Oct-2-enoyl-[acp]; trans-Oct-2-enoyl-[acyl-carrier protein]; Oct-2-enoyl-[acyl-carrier protein]; 2-Octenoyl-[acyl-carrier protein]; (2E)-Octenoyl-[acp]
C05752	Octanoyl-[acp]; Octanoyl-[acyl-carrier protein]
C05753	3-Oxodecanoyl-[acp]; 3-Oxodecanoyl-[acyl-carrier protein]
C05754	trans-Dec-2-enoyl-[acp]; trans-Dec-2-enoyl-[acyl-carrier protein]; trans-2-Decenoyl-[acyl-carrier protein]; (2E)-Decenoyl-[acp]
C05755	Decanoyl-[acp]; Decanoyl-[acyl-carrier protein]
C05756	3-Oxododecanoyl-[acp]; 3-Oxododecanoyl-[acyl-carrier protein]
C05757	(R)-3-Hydroxydodecanoyl-[acp]; (R)-3-Hydroxydodecanoyl-[acyl-carrier protein]; D-3-Hydroxydodecanoyl-[acp]; D-3-Hydroxydodecanoyl-[acyl-carrier protein]
C05758	trans-Dodec-2-enoyl-[acp]; trans-Dodec-2-enoyl-[acyl-carrier protein]; (2E)-Dodecenoyl-[acp]
C05759	3-Oxotetradecanoyl-[acp]; 3-Oxotetradecanoyl-[acyl-carrier protein]
C05760	trans-Tetradec-2-enoyl-[acp]; trans-Tetradec-2-enoyl-[acyl-carrier protein]; (2E)-Tetradecenoyl-[acp]
C05761	Tetradecanoyl-[acp]; Tetradecanoyl-[acyl-carrier protein]; Myristoyl-[acyl-carrier protein]
C05762	3-Oxohexadecanoyl-[acp]; 3-Oxohexadecanoyl-[acyl-carrier protein]
C05763	trans-Hexadec-2-enoyl-[acp]; trans-Hexadec-2-enoyl-[acyl-carrier protein]; (2E)-Hexadecenoyl-[acp]
C05764	Hexadecanoyl-[acp]; Hexadecanoyl-[acyl-carrier protein]; Palmitoyl-[acyl-carrier protein]
C05766	Uroporphyrinogen I
C05767	Uroporphyrin I
C05768	Coproporphyrinogen I
C05769	Coproporphyrin I
C05770	Coproporphyrin III
C05772	Precorrin 3A
C05773	Cobyrinate; Cobyrinic acid; Cob(II)yrinate; Cob(II)yrinic acid
C05774	Cobinamide; Cob(I)inamide
C05775	alpha-Ribazole; N1-(alpha-D-Ribosyl)-5,6-dimethylbenzimidazole
C05776	Vitamin B12; Cobalamin (III); Cob(III)alamin
C05777	Coenzyme F430; Factor F430
C05778	Sirohydrochlorin
C05779	Apoferritin
C05780	Apotransferrin
C05781	Oxyhemoglobin
C05782	Myoglobin
C05783	Cytochrome a
C05784	Catalase
C05785	Peroxidase
C05786	(3Z)-Phycocyanobilin
C05787	Bilirubin beta-diglucuronide; Bilirubin-bisglucuronoside
C05789	L-Urobilinogen; L-Stercobilinogen; Stercobilinogen
C05790	I-Urobilinogen; Mesobilirubinogen; Urobilinogen
C05791	D-Urobilinogen
C05793	L-Urobilin; L-Stercobilin; Stercobilin
C05794	Urobilin; I-Urobilin
C05795	D-Urobilin
C05796	Galactan
C05797	Pheophytin a
C05798	Bacteriopheophytin; Bacteriopheophytin a
C05807	2-Polyprenylphenol; 2-(all-trans-Polyprenyl)phenol
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate; (1R,6R)-2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate; SHCHC
C05819	Menaquinol; Reduced menaquinone; Vitamin K2 hydroquinone; Reduced vitamin K2
C05822	3'-CMP; Cytidine 3'-phosphate
C05823	3-Mercaptolactate; L-3-Mercaptolactate; (R)-3-Mercaptolactate
C05824	S-Sulfo-L-cysteine
C05825	2-Amino-5-oxohexanoate
C05827	Methylimidazole acetaldehyde; 1-Methylimidazole-4-acetaldehyde; Methylimidazoleacetaldehyde
C05828	Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate
C05829	N-Carbamyl-L-glutamate; Carglumic acid
C05830	8-Methoxykynurenate; Xanthurenic acid 8-methyl ether
C05831	3-Methoxyanthranilate; 3-Methoxyanthranilic acid
C05832	5-Hydroxyindoleacetylglycine
C05834	3-Methyldioxyindole; 3-Hydroxy-3-methyloxindole
C05835	2-Formaminobenzoylacetate
C05837	Glucobrassicin; Indolylmethyl glucosinolate
C05840	Iminoaspartate; Iminoaspartic acid; Iminosuccinate
C05841	Nicotinate D-ribonucleoside; beta-D-Ribosylnicotinate
C05842	N1-Methyl-2-pyridone-5-carboxamide; N'-Methyl-2-pyridone-5-carboxamide; 1-Methyl-5-carboxylamide-2-pyridone
C05843	N1-Methyl-4-pyridone-5-carboxamide; N'-Methyl-4-pyridone-5-carboxamide; 1-Methyl-4-pyridone-3-carboximide
C05844	5-L-Glutamyl-taurine; 5-Glutamyl-taurine; Glutaurine
C05847	all-trans-Polyprenyl diphosphate; Polyisopentenylpyrophosphate; Polyisopentenyldiphosphate; trans-Polyisopentenyldiphosphate; Polyprenyl diphosphate
C05848	4-Hydroxy-3-polyprenylbenzoate
C05849	Vitamin K1 epoxide; (2,3-Epoxyphytyl)menaquinone; 2,3-Epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone; 2,3-Epoxyphylloquinone; 1a,7a-Dihydro-1a-methyl-7a-(3,7,11,15-tetramethyl-2-hexadecenyl)-naphth[2,3-b]oxirene-2,7-dione; Phylloquinone oxide; Phylloquinone epoxide; Phylloquinone-2,3-epoxide; Vitamin K1 2,3-epoxide; Vitamin K1 oxide
C05852	2-Hydroxyphenylacetate; 2-Hydroxyphenylacetic acid
C05853	Phenylethyl alcohol; Phenethyl alcohol; 2-Phenylethanol
C05856	Thiamine aldehyde; Thiamin aldehyde
C05859	Dehydrodolichol diphosphate; Dehydrodolichyl diphosphate; ditrans,polycis-Polyprenyl diphosphate
C05912	(3Z)-Phycoerythrobilin
C05913	(3Z)-Phytochromobilin
C05914	Bathorhodopsin
C05915	Lumirhodopsin
C05916	Metarhodopsin
C05917	Iodopsin
C05921	Biotinyl-5'-AMP
C05922	Formamidopyrimidine nucleoside triphosphate
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C05924	Molybdopterin; Pyranopterin; H2Dtpp-mP
C05925	Dihydroneopterin phosphate; 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine phosphate; 7,8-Dihydroneopterin 3'-phosphate
C05926	Neopterin; [S-(R*,S*)]-2-amino-6-(1,2,3-trihydroxypropyl)-1H-pteridin-4-one; [S-(R*,S*)]-2-amino-6-(1,2,3-trihydroxypropyl)-1H-pteridine-4-one; [S-(R*,S*)]-2-Amino-6-(1,2,3-trihydroxypropyl)-1H-pteridin-4-on; 6-(D-erythro-1,2,3-Trihydroxypropyl)pterin; 6-D-erythro-Neopterin; D-erythro-Neopterin; D-Neopterin
C05927	7,8-Dihydromethanopterin
C05931	N-Succinyl-L-glutamate; (2S)-2-(3-Carboxypropanoylamino)pentanedioic acid
C05932	N-Succinyl-L-glutamate 5-semialdehyde; (2S)-2-(3-Carboxypropanoylamino)-5-oxopentanoic acid
C05933	N(omega)-Hydroxyarginine; N(omega)-Hydroxy-L-arginine
C05936	N4-Acetylaminobutanal; 4-Acetamidobutanal
C05938	L-4-Hydroxyglutamate semialdehyde
C05939	Linatine; N-(gamma-L-Glutamyl)amino-D-proline
C05941	2-Oxo-4-hydroxy-5-aminovalerate
C05942	Pyrrole-2-carboxylate
C05944	Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic
C05945	L-Arginine phosphate; N5-[Imino(phosphonoamino)methyl]L-ornithine; omega-N-Phosphoarginine; Arginine phosphate; L-Arginine-NG-phosphoric acid; Phosphoarginine A; N-Phospho-L-arginine; N(omega)-Phospho-L-arginine; Phosphoarginine
C05946	(4R)-4-Hydroxy-2-oxoglutarate; (R)-2-Hydroxy-4-oxopentanedioate; D-4-Hydroxy-2-oxoglutarate
C05947	L-erythro-4-Hydroxyglutamate
C05949	12-Keto-leukotriene B4; 12-Keto-LTB4; 5-Hydroxy-12-oxo-Delta5,8,11,14-eicosapolyenoic acid
C05950	20-COOH-Leukotriene B4; 20-COOH-LTB4; 20-Carboxy-leukotriene B4; 5,12-Dihydroxy-Delta5,8,11,14-eicosapolyendioic acid
C05951	Leukotriene D4; LTD4
C05952	Leukotriene E4; LTE4; (7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoate; (7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate
C05953	Prostaglandin A2; PGA2; Medullin
C05954	Prostaglandin B2; PGB2
C05955	Prostaglandin C2; PGC2
C05956	Prostaglandin G2; PGG2
C05957	Prostaglandin J2; PGJ2
C05958	Delta-12-Prostaglandin J2; Delta-12-PGJ2
C05959	11-epi-Prostaglandin F2alpha; 11-epi-Prostaglandin F2a; 11-epi-PGF2alpha; 11-epi-PGF2a
C05960	15-Keto-prostaglandin F2alpha; 15-Keto-prostaglandin F2a; 15-Keto-PGF2alpha; 15-Keto-PGF2a
C05961	6-Keto-prostaglandin F1alpha; 6-Keto-prostaglandin F1a; 6-Keto-PGF1alpha; 6-Keto-PGF1a
C05962	6-Keto-prostaglandin E1; 6-Keto-PGE1
C05963	Thromboxane B2; TXB2
C05964	11-Dehydro-thromboxane B2
C05965	12(S)-HPETE; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate; 12-Hydroperoxyeicosatetraenoate; 12-Hydroperoxyicosatetraenoate; 12-Hydroperoxyeicosatetraenoic acid; 12-Hydroperoxyicosatetraenoic acid
C05966	15(S)-HPETE; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid; 15-Hydroperoxyeicosatetraenoate; 15-Hydroperoxyicosatetraenoate; 15-Hydroperoxyeicosatetraenoic acid; 15-Hydroperoxyicosatetraenoic acid; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate
C05973	2-Acyl-sn-glycero-3-phosphoethanolamine; L-1-Lysophosphatidylethanolamine; O-(2-Acyl-sn-glycero-3-phospho)-ethanolamine
C05974	2-Acyl-sn-glycero-3-phosphoserine; 2-Acyl-1-lyso-phosphatidylserine
C05976	Aminoacyl-phosphatidylglycerol
C05977	2-Acyl-1-alkyl-sn-glycero-3-phosphate
C05979	Propane-1-ol; Propanol; 1-Propanol; Propan-1-ol; Propyl alcohol; 1-Hydroxypropane; Ethylcarbinol; n-Propanol; n-Propyl alcohol; Optal; Osmosol extra; UN 1274
C05980	Cardiolipin; Diphosphatidylglycerol; 1',3'-Bis(1,2-diacyl-sn-glycero-3-phospho)-sn-glycerol
C05981	Phosphatidylinositol-3,4,5-trisphosphate; 1-Phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)
C05983	Propionyladenylate; Propionyl-adenosine monophosphate
C05984	2-Hydroxybutanoic acid; 2-Hydroxybutyrate; 2-Hydroxybutyric acid
C05989	3-Oxopropionyl-CoA; 3-Oxopropanoyl-CoA; Malonyl semialdehyde-CoA
C05993	Acetyl adenylate; 5'-Acetylphosphoadenosine
C05994	2-Propylmalate; 2-Propylmalic acid; Malic acid, 2-propyl-
C05995	7-Hydroxy-6-methyl-8-ribityllumazine; 7-Oxolumazine; 6-Methyl-7-oxo-8-ribityllumazine
C05996	Branched chain fatty acid
C05998	3-Hydroxyisovaleryl-CoA; 3-Hydroxyisovaleryl coenzyme A
C06000	(S)-3-Hydroxyisobutyryl-CoA
C06001	(S)-3-Hydroxyisobutyrate
C06002	(S)-Methylmalonate semialdehyde
C06006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate; (R)-2,3-Dihydroxy-3-methylvalerate; (2R,3R)-2,3-Dihydroxy-3-methylpentanoate
C06010	(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate; (2S)-2-Hydroxy-2-methyl-3-oxobutanoate
C06019	D-arabino-Hex-3-ulose 6-phosphate; D-arabino-3-Hexulose 6-phosphate; D-arabino-6-Phospho-hex-3-ulose
C06023	D-Glucosaminide; Chitosan oligosaccharide
C06027	L-erythro-3-Methylmalyl-CoA; beta-Methylmalyl-CoA; (2R,3S)-2-Methylmalyl-CoA; L-erythro-beta-Methylmalyl-CoA; (2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-CoA
C06028	2-Methylfumaryl-CoA; Mesaconyl-CoA; Mesaconyl-C1-CoA; (E)-3-Carboxy-2-methylprop-2-enoyl-CoA
C06032	D-erythro-3-Methylmalate; (2R,3S)-3-Methylmalate
C06037	Digalactosyl-diacylglycerol; DGDG; Gal-alpha1->6Gal-beta1->3acyl2Gro; Galalpha1->6Galbeta1->3acyl2Gro; 1,2-Diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol; 3-[alpha-D-Galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol; 2,3-Di-O-acyl-1-O-(6-O-alpha-D-galactosyl-beta-D-galactosyl)-D-glycerol
C06038	Acyl1-monogalactosyl-diacylglycerol; Acylmono-beta-D-galactosyldiacylglycerol; acyl1->6Gal-beta1->3acyl2Gro; acyl1->6Galbeta1->3acyl2Gro; 1,2-Diacyl-3-O-(acyl(1->6)-O-beta-D-galactosyl)-sn-glycerol
C06040	Diglucosyldiacylglycerol; beta-Gentiobiosyldiacylglycerol; Glc-beta1->6Glc-beta1->3acyl2Gro; Glcbeta1->6Glcbeta1->3acyl2Gro; 1,2-Diacyl-3-O-[beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl]-sn-glycerol
C06041	Glycerophosphoglycoglycerolipid; (sn-Gro-1-P)->6Glc-beta1->6Glc-beta1->3acyl2Gro; (sn-Gro-1-P)->6Glcbeta1->6Glcbeta1->3acyl2Gro
C06042	Lipoteichoic acid; (sn-Gro-1-P)25->6Glc-alpha1->2Glc-alpha1->3acyl2Gro
C06044	4-Hydroxyphenylethanol; Tyrosol
C06046	Salidroside; p-Hydroxyphenethyl alcohol 1-O-beta-D-glucoside; Tyrosol glucoside
C06047	Stizolobate; Stizolobic acid
C06048	Stizolobinate; Stizolobinic acid
C06049	N-Formylderivatives
C06050	2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate; 5-Formyl-3-hydroxy-2-methylpyridine-4-carboxylate
C06051	Isopyridoxal
C06052	5-Pyridoxolactone
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate; alpha-Keto-3-hydroxy-4-phosphobutyrate; (3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate; (3R)-3-Hydroxy-2-oxo-4-phosphooxybutanoate
C06055	O-Phospho-4-hydroxy-L-threonine; 4-(Phosphonooxy)-threonine; 4-(Phosphonooxy)-L-threonine; 4-Phosphooxy-L-threonine
C06056	4-Hydroxy-L-threonine; Hydroxythreonine
C06058	Nitroalkane
C06062	Ceramide phosphoethanolamine
C06081	Polyprenol; ditrans,polycis-Polyprenol
C06108	Fluoroacetate; Fluoroacetic acid; Cymonic acid; Gifblaar poison; HFA; UN 2642
C06112	L-Glutamyl-tRNA(Gln); Glu-tRNA(Gln); Glutamyl-tRNA(Gln)
C06113	L-Aspartyl-tRNA(Asn); Asp-tRNA(Asn); Aspartyl-tRNA(Asn)
C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate; 4-(4-Deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate; Unsaturated digalacturonate
C06124	Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate; S1P
C06125	Sulfatide; Galactosylceramide sulfate; Cerebroside 3-sulfate
C06126	Digalactosylceramide; Galabiosylceramide; Gal-alpha1->4Gal-beta1->1'Cer
C06127	Digalactosylceramide sulfate
C06128	GM4; N-Acetylneuraminyl-galactosylceramide; Neu5Ac-alpha2->3Gal-beta1->1'Cer
C06142	1-Butanol; n-Butanol; Butan-1-ol
C06143	Poly-beta-hydroxybutyrate
C06144	3-Butynoate; But-3-ynoate
C06145	3-Butyn-1-al
C06146	3-Butyn-1-ol
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C06153	scyllo-Inositol; Scyllitol
C06156	alpha-D-Glucosamine 1-phosphate; D-Glucosamine 1-phosphate
C06178	1-Methylpyrrolinium; 1-Methyl-Delta(1)-pyrrolinium
C06186	Arbutin; Ursin; Uvasol; Hydroquinone-O-beta-D-glucopyranoside
C06187	Arbutin 6-phosphate; Arbutin-6P
C06188	Salicin 6-phosphate; Salicin-6P
C06192	ADP-mannose; APD-D-mannose
